Diversity component,group,focal species status,Abundance class,nb.sp,n.target,freq.impact,freq.negative,freq.positive,prop.impact,freq.thr,prop.thr,perc.thr
Total richness,ALIEN:0,Native,c2,29,1,0,2,2,0,0,0,0
Total richness,ALIEN:0,Native,c3,29,1,0,1,7,0,1,0.034482759,1
Total richness,ALIEN:0,Native,c4,16,0,0,0,0,0,0,0,0
Total richness,ALIEN:0,Native,c5,14,0,0,0,1,0,0,0,0
Total richness,ALIEN:0,Native,c6,4,0,0,0,0,0,0,0,0
Total richness,ALIEN:1,Alien,c2,60,13,2,3,6,0.033333333,1,0.016666667,0.076923077
Total richness,ALIEN:1,Alien,c3,60,13,2,2,13,0.033333333,1,0.016666667,0.076923077
Total richness,ALIEN:1,Alien,c4,50,13,5,9,4,0.1,4,0.08,0.307692308
Total richness,ALIEN:1,Alien,c5,40,12,9,10,3,0.225,7,0.175,0.538461538
Total richness,ALIEN:1,Alien,c6,15,7,5,8,1,0.333333333,0,0,0
,,,,,,,,,,,,
Native richness,ALIEN:0,Native,c2,29,1,0,1,6,0,0,0,0
Native richness,ALIEN:0,Native,c3,29,1,1,1,11,0.034482759,1,0.034482759,1
Native richness,ALIEN:0,Native,c4,16,1,0,2,4,0,0,0,0
Native richness,ALIEN:0,Native,c5,14,0,0,1,4,0,0,0,0
Native richness,ALIEN:0,Native,c6,4,0,0,1,0,0,0,0,0
Native richness,ALIEN:1,Alien,c2,60,13,3,10,14,0.05,2,0.033333333,0.153846154
Native richness,ALIEN:1,Alien,c3,60,13,6,11,17,0.1,2,0.033333333,0.153846154
Native richness,ALIEN:1,Alien,c4,50,12,8,11,8,0.16,5,0.1,0.384615385
Native richness,ALIEN:1,Alien,c5,40,11,10,15,3,0.25,2,0.05,0.153846154
Native richness,ALIEN:1,Alien,c6,15,6,4,5,0,0.266666667,2,0.133333333,0.153846154
,,,,,,,,,,,,
Alien richness,ALIEN:0,Native,c2,29,2,1,1,0,0.034482759,1,0.034482759,0.5
Alien richness,ALIEN:0,Native,c3,29,2,1,2,1,0.034482759,1,0.034482759,0.5
Alien richness,ALIEN:0,Native,c4,16,2,0,2,0,0,0,0,0
Alien richness,ALIEN:0,Native,c5,14,1,1,1,0,0.071428571,0,0,0
Alien richness,ALIEN:0,Native,c6,4,0,0,0,0,0,0,0,0
Alien richness,ALIEN:1,Alien,c2,60,8,1,2,2,0.016666667,1,0.016666667,0.125
Alien richness,ALIEN:1,Alien,c3,60,8,1,1,10,0.016666667,2,0.033333333,0.25
Alien richness,ALIEN:1,Alien,c4,50,7,0,1,3,0,0,0,0
Alien richness,ALIEN:1,Alien,c5,40,6,4,4,0,0.1,5,0.125,0.625
Alien richness,ALIEN:1,Alien,c6,15,4,1,4,0,0.066666667,0,0,0
